X1	X2	G
-0.96	-4.62	1
-0.87	-5.06	1
-0.33	-1.87	1
-0.44	-2.20	1
0.58	4.63	1
0.21	0.70	1
-0.70	-3.39	1
0.87	4.24	1
1.12	7.73	1
2.20	11.40	1
0.80	3.63	1
0.18	0.64	1
-0.81	-6.39	1
-1.48	-7.15	1
-1.09	-4.67	1
0.32	0.68	1
1.69	7.72	1
-0.57	-2.38	1
1.17	6.04	1
-1.40	-6.90	1
-0.72	-2.62	1
0.26	2.54	1
-1.75	-10.45	1
-0.12	-0.27	1
1.12	5.73	1
0.88	4.01	1
-0.25	-2.27	1
-1.52	-6.50	1
-0.35	-1.95	1
-0.03	-1.21	1
-0.27	-2.08	1
0.52	2.20	1
1.73	9.36	1
-0.31	-0.95	1
-0.85	-2.88	1
-1.73	-8.37	1
0.61	3.48	1
1.40	6.89	1
-0.82	-2.66	1
-0.34	-4.30	1
-1.16	-4.73	1
-0.11	0.05	1
-0.49	-3.15	1
0.32	1.35	1
-0.09	1.62	1
-0.08	-1.27	1
-0.55	-2.18	1
-0.18	-0.30	1
0.06	-0.07	1
-0.31	-0.22	1
0.99	6.18	1
2.64	14.98	1
0.22	0.76	1
-0.32	-2.29	1
-0.24	-0.87	1
0.01	1.80	1
-1.42	-7.73	1
-0.94	-5.88	1
-0.13	0.13	1
0.05	1.18	1
-1.51	-6.52	1
-0.82	-5.04	1
-0.78	-2.70	1
1.06	5.72	1
0.61	0.79	1
0.06	0.15	1
1.36	6.03	1
0.12	-0.19	1
-1.37	-6.43	1
-0.69	-1.67	1
0.39	1.39	1
-0.09	-0.70	1
-1.37	-8.13	1
-1.20	-6.73	1
-0.98	-4.94	1
-0.78	-3.93	1
-1.46	-6.89	1
-0.09	-0.65	1
1.28	6.99	1
0.03	-0.11	1
-0.52	-3.06	1
2.30	12.30	1
-1.18	-7.37	1
0.43	3.54	1
0.20	1.84	1
-0.61	-1.85	1
-0.35	-1.47	1
0.54	2.28	1
-2.04	-10.99	1
0.56	1.71	1
1.12	5.42	1
-1.12	-6.33	1
-1.00	-5.22	1
-1.91	-8.80	1
1.93	9.81	1
1.13	6.18	1
0.68	4.86	1
0.78	3.32	1
-0.55	-2.03	1
-0.45	-2.26	1
1.17	6.14	1
-1.11	-7.20	1
-0.26	-2.39	1
1.71	8.67	1
-1.13	-5.92	1
0.15	-0.57	1
1.85	8.46	1
-0.01	1.68	1
-1.55	-7.13	1
0.92	2.88	1
0.43	0.78	1
0.08	0.46	1
0.95	3.43	1
-0.14	-1.21	1
0.53	4.14	1
0.74	2.18	1
0.42	3.07	1
0.86	4.03	1
-0.53	-1.46	1
-0.95	-3.96	1
-1.10	-5.96	1
-0.06	-0.96	1
2.01	10.81	1
0.94	4.15	1
-0.25	0.27	1
-1.19	-5.16	1
1.14	5.70	1
-1.18	-6.00	1
0.99	4.71	1
-1.04	-3.97	1
-0.46	-4.77	1
-1.21	-7.01	1
0.38	3.48	1
-2.55	-12.61	1
0.74	4.23	1
0.26	1.47	1
0.39	1.99	1
-0.68	-2.92	1
-1.95	-9.53	1
0.84	4.11	1
0.40	1.84	1
1.26	6.63	1
1.10	6.41	1
0.23	1.57	1
0.28	1.80	1
-1.15	-4.40	1
-0.61	-3.86	1
-0.34	-1.36	1
2.25	12.46	1
0.11	0.80	1
-1.09	-3.52	1
-0.74	-3.96	1
-1.34	-7.49	1
-0.94	-5.46	1
-0.56	-3.95	1
-0.90	-2.66	1
-0.59	-1.87	1
-1.22	-5.24	1
0.28	0.15	1
0.22	1.70	1
1.09	4.28	1
1.84	7.51	1
2.01	10.65	1
1.25	4.77	1
1.77	7.46	1
0.31	0.52	1
0.51	4.09	1
1.13	6.58	1
-0.32	-2.50	1
-0.53	-2.34	1
-0.36	-1.15	1
0.54	2.36	1
1.25	6.19	1
0.76	3.48	1
1.84	10.58	1
2.04	8.36	1
-0.78	-4.23	1
0.12	0.60	1
1.34	5.87	1
-0.56	-1.84	1
-0.13	0.04	1
-0.75	-3.03	1
1.23	6.42	1
-0.07	-1.43	1
2.00	10.05	1
0.36	1.53	1
0.61	4.11	1
0.19	3.34	1
1.07	6.34	1
1.39	7.12	1
0.09	1.40	1
-0.29	-0.15	1
0.69	5.16	1
-0.19	-0.33	1
-1.85	-10.25	1
-1.37	-8.43	1
-0.51	-4.03	1
-1.60	-8.80	1
-0.44	-3.70	1
-0.21	-0.94	1
-1.17	-7.02	1
-2.07	-12.08	1
0.33	2.02	1
-1.84	-7.69	1
-1.31	-5.72	1
0.41	3.17	1
0.32	1.49	1
0.41	2.06	1
1.17	4.95	1
0.70	1.74	1
-1.23	-5.99	1
-0.24	-2.34	1
-0.27	-2.34	1
-0.70	-2.68	1
-2.35	-14.46	1
-0.72	-3.01	1
0.60	1.49	1
0.04	-0.70	1
-1.24	-5.19	1
1.06	5.72	1
-0.39	-1.77	1
0.74	2.41	1
-1.25	-6.44	1
1.13	5.30	1
0.55	2.07	1
0.52	2.23	1
0.91	2.90	1
1.07	4.38	1
-0.19	-0.10	1
1.40	4.55	1
0.74	4.17	1
0.35	0.34	1
-0.30	-1.11	1
-1.22	-6.84	1
-0.50	-1.25	1
0.71	1.63	1
0.46	2.22	1
-0.64	-3.48	1
1.34	5.44	1
-0.65	-2.69	1
-0.04	-0.80	1
-0.91	-4.21	1
0.59	3.12	1
-0.71	-2.91	1
-0.86	-3.40	1
1.02	4.60	1
-0.23	-1.62	1
0.51	3.02	1
-1.19	-6.82	1
-0.29	-1.79	1
-0.57	-4.98	1
0.46	2.10	1
1.12	5.41	1
-0.48	-1.08	1
-0.22	0.89	1
-0.45	-2.81	1
1.46	6.01	1
1.43	7.10	1
-2.18	-12.46	1
-1.72	-6.93	1
-1.10	-4.46	1
-1.18	-6.53	1
0.45	2.96	1
0.21	1.27	1
0.69	3.14	1
0.56	2.25	1
-0.61	-1.79	1
-0.67	-3.41	1
1.10	6.08	1
-0.25	-0.39	1
0.59	4.22	1
1.14	6.86	1
-0.99	-5.19	1
-1.96	-11.46	1
-0.59	-5.40	1
-0.18	-0.86	1
-0.21	0.03	1
-0.44	-1.83	1
0.34	0.47	1
0.41	1.36	1
-0.93	-2.48	1
0.46	4.58	1
-1.68	-9.04	1
0.64	4.60	1
0.04	1.05	1
-0.10	0.26	1
-0.29	-1.32	1
0.16	-1.23	1
0.60	2.89	1
-0.48	-1.58	1
0.63	1.98	1
-0.65	-4.83	1
0.64	4.47	1
-0.68	-2.39	1
-0.03	-0.63	1
-0.15	0.73	1
-0.28	-0.90	1
-0.53	-2.81	1
0.31	2.02	1
0.28	1.93	1
-0.90	-4.44	1
-0.53	-3.20	1
0.10	1.19	1
-0.64	-0.90	1
0.59	4.34	1
-0.57	-4.09	1
0.62	4.86	1
-0.48	-3.12	1
-0.55	-2.18	1
0.90	3.55	1
0.20	0.32	1
-1.21	-5.79	1
-0.32	-0.69	1
-0.93	-4.71	1
0.38	1.52	1
-2.13	-9.47	1
1.96	10.36	1
0.28	1.23	1
0.04	-1.82	1
-2.64	-12.56	1
0.40	0.83	1
0.35	1.02	1
-1.47	-6.02	1
-1.33	-7.40	1
0.02	-0.54	1
0.95	5.83	1
0.42	2.68	1
-0.36	-3.58	1
0.74	1.80	1
1.94	8.79	1
0.29	0.26	1
0.92	4.11	1
-1.25	-6.91	1
0.16	0.13	1
0.44	3.84	1
-0.71	-3.00	1
-0.50	-2.87	1
1.00	6.21	1
-1.83	-9.72	1
0.46	3.17	1
-1.39	-7.81	1
-0.10	-0.92	1
-0.40	-2.21	1
-1.31	-6.30	1
-0.58	-3.23	1
-0.87	-4.91	1
-1.29	-5.99	1
-0.31	-1.08	1
0.00	-1.46	1
0.14	0.22	1
0.98	5.29	1
0.80	5.01	1
-0.81	-4.00	1
-2.73	-13.77	1
0.16	0.16	1
-1.09	-6.36	1
0.87	3.84	1
0.10	-0.83	1
0.45	2.80	1
-0.77	-4.48	1
-0.52	-2.63	1
2.18	9.44	1
-0.18	0.70	1
-1.07	-4.20	1
0.44	3.09	1
-0.16	0.14	1
-0.24	-1.04	1
0.77	3.16	1
-0.97	-7.12	1
0.56	1.82	1
0.01	-1.63	1
-0.54	-2.78	1
-0.41	-0.60	1
-0.44	-3.45	1
1.17	5.93	1
-0.77	-4.80	1
1.39	6.85	1
-0.23	-1.28	1
0.41	2.82	1
0.03	-0.61	1
-0.57	-1.97	1
-0.06	1.63	1
0.79	5.38	1
-0.74	-4.68	1
-0.27	-0.88	1
-1.15	-7.11	1
2.04	9.66	1
-0.16	0.58	1
-0.03	-1.23	1
0.39	3.34	1
-0.56	-1.53	1
-0.32	-0.66	1
1.03	4.90	1
0.84	4.17	1
-2.11	-11.25	1
-0.55	-2.66	1
-0.09	0.52	1
-0.33	-1.50	1
0.34	0.92	1
1.29	7.35	1
-0.90	-5.72	1
0.77	4.74	1
0.10	1.88	1
-0.34	-0.45	1
0.47	1.71	1
0.24	1.32	1
0.03	-0.53	1
0.80	5.63	1
1.69	9.73	1
1.14	5.30	1
-0.47	-3.67	1
0.36	2.44	1
-1.17	-6.80	1
-0.69	-3.89	1
-0.03	0.16	1
-0.83	-5.06	1
-0.87	-3.58	1
0.49	3.24	1
-0.12	1.06	1
0.61	1.78	1
0.45	1.50	1
0.66	2.83	1
-0.48	-3.92	1
0.93	4.88	1
1.91	9.72	1
-0.16	1.58	1
1.43	4.19	1
1.34	4.79	1
-1.16	-6.12	1
-0.51	-0.45	1
0.31	1.26	1
-0.04	-1.45	1
2.42	12.29	1
-1.18	-5.47	1
0.52	3.12	1
-1.18	-4.39	1
-0.48	-2.13	1
-0.44	-2.62	1
0.67	2.76	1
0.13	-0.33	1
-0.29	-4.71	1
-1.25	-4.63	1
-0.05	-1.79	1
1.17	5.48	1
0.74	4.48	1
0.90	4.81	1
-0.64	-3.68	1
-0.95	-5.66	1
2.24	12.16	1
-0.97	-5.13	1
2.19	11.71	1
-0.22	-0.53	1
1.19	4.42	1
1.76	8.72	1
-0.25	-3.55	1
0.27	-0.66	1
0.29	0.63	1
-0.42	-3.22	1
-0.48	-2.73	1
-0.42	-1.83	1
0.14	-0.64	1
0.32	1.17	1
-2.68	-13.15	1
0.16	1.22	1
-1.23	-4.54	1
-0.67	-5.24	1
-0.71	-4.46	1
0.13	1.30	1
1.24	4.05	1
2.65	12.72	1
-0.44	-1.26	1
0.11	1.97	1
-1.24	-5.62	1
-2.04	-10.56	1
0.37	0.72	1
-1.03	-7.06	1
1.12	4.31	1
0.15	1.08	1
1.80	9.43	1
-1.04	-5.47	1
-0.60	-3.24	1
0.96	5.74	1
-0.78	-2.39	1
0.41	3.84	1
-0.27	-0.22	1
-0.46	-1.38	1
1.23	4.83	1
0.81	3.85	1
-0.07	1.15	1
0.68	2.05	1
-0.43	-2.26	1
0.21	2.33	1
-0.33	-1.81	1
-1.20	-4.86	1
0.32	1.43	1
1.78	8.03	1
-1.27	-5.88	1
0.90	4.09	1
1.27	5.76	1
0.50	0.49	1
-1.44	-6.96	1
-0.52	-3.63	1
0.13	0.50	1
-0.03	-0.97	1
-0.95	-4.25	1
-0.19	-0.46	1
-1.93	-11.77	1
-0.59	-3.79	1
-0.08	-0.58	1
-0.54	-3.43	1
-1.87	-10.81	1
1.97	9.34	1
2.02	9.42	1
0.89	4.34	1
0.57	1.66	1
-0.70	-3.72	1
0.30	2.83	1
-0.69	-2.76	1
-0.59	-4.05	1
0.83	3.95	1
0.45	2.80	1
0.64	4.20	1
-0.59	-2.44	1
0.43	2.07	1
-0.99	-6.80	1
0.28	-0.36	1
0.12	-0.15	1
0.35	0.98	1
0.93	3.55	1
-1.52	-7.12	1
0.70	3.81	1
-1.57	-8.28	1
-1.76	-7.62	1
-0.20	-1.25	1
-1.26	-6.81	1
0.70	3.60	1
0.40	1.60	1
-0.29	-1.49	1
1.27	6.25	1
1.22	6.03	1
-0.03	-0.32	1
0.96	4.15	1
1.59	9.56	1
-0.37	-0.62	1
1.31	3.62	1
1.50	6.99	1
1.18	6.41	1
-0.98	-4.21	1
0.37	2.09	1
0.16	1.36	1
-0.09	-1.51	1
0.80	2.92	1
0.57	2.91	1
1.02	4.74	1
-0.21	-1.35	1
0.15	1.31	1
-0.53	-3.69	1
-0.23	0.92	1
-1.39	-7.63	1
-2.06	-9.75	1
0.51	1.20	1
1.20	6.71	1
1.57	8.82	1
-1.68	-7.60	1
-0.73	-4.70	1
-0.68	-2.74	1
-1.18	-4.52	1
0.88	3.71	1
-0.22	-1.47	1
0.43	3.32	1
-0.12	-1.41	1
1.40	7.28	1
-0.89	-5.57	1
-0.69	-3.26	1
1.02	5.17	1
1.49	8.24	1
-0.19	-2.11	1
1.05	5.37	1
-1.60	-8.32	1
0.91	3.68	1
0.74	2.99	1
0.46	3.22	1
-0.50	-2.55	1
-0.15	-0.25	1
-0.45	-3.29	1
-0.29	-1.85	1
0.11	1.35	1
-0.59	-2.42	1
1.18	6.35	1
-1.29	-8.15	1
-0.98	-6.25	1
1.90	9.81	1
0.43	1.88	1
1.19	4.84	1
1.61	10.12	1
1.12	6.37	1
-1.20	-7.23	1
2.08	10.62	1
-0.73	-4.92	1
0.00	-0.04	1
-0.75	-5.01	1
-1.15	-4.94	1
-0.43	-2.88	1
1.30	6.95	1
-0.02	-1.54	1
0.42	1.90	1
0.44	-0.43	1
-0.69	-3.56	1
-1.20	-5.12	1
1.29	6.18	1
-0.74	-3.21	1
-0.05	-0.09	1
0.52	3.45	1
0.13	-0.63	1
-2.46	-12.67	1
0.42	0.79	1
1.54	8.88	1
-0.99	-4.70	1
-0.60	-3.02	1
-1.56	-7.72	1
-0.10	-1.03	1
-0.58	-4.51	1
-0.45	-2.47	1
-1.47	-6.61	1
1.20	6.63	1
-1.47	-8.08	1
-0.03	-0.16	1
-1.62	-6.69	1
-1.60	-8.59	1
-0.09	0.06	1
-1.37	-8.12	1
0.00	0.59	1
0.61	3.67	1
2.18	11.11	1
-0.99	-4.74	1
-0.44	-1.41	1
-0.44	-3.36	1
1.14	6.36	1
-0.61	-2.86	1
-1.64	-9.24	1
0.59	2.34	1
-1.32	-8.51	1
-0.21	-1.11	1
0.51	3.99	1
0.86	4.39	1
0.64	2.83	1
-1.47	-9.14	1
-1.05	-4.60	1
0.99	4.74	1
-0.21	-2.59	1
-0.79	-3.56	1
-0.72	-3.48	1
0.81	4.25	1
0.93	3.90	1
-1.96	-8.41	1
0.67	2.75	1
-0.29	-3.84	1
-0.47	-0.12	1
-1.60	-7.52	1
-1.09	-5.35	1
1.17	5.86	1
-0.82	-5.43	1
1.43	6.80	1
0.42	1.95	1
0.71	3.45	1
-0.81	-3.41	1
-1.42	-6.33	1
-0.86	-5.17	1
-2.75	-12.94	1
0.28	1.26	1
-1.20	-7.70	1
1.05	3.82	1
-0.73	-4.18	1
-0.39	-2.28	1
0.82	4.56	1
-1.04	-4.93	1
0.22	1.20	1
-0.76	-4.17	1
-0.41	-3.29	1
0.16	2.17	1
0.22	-0.16	1
-2.07	-11.37	1
-0.08	0.86	1
-1.09	-6.21	1
0.61	3.80	1
0.61	3.23	1
-0.10	-0.59	1
0.82	3.53	1
-0.24	-1.86	1
1.44	7.42	1
-0.25	-0.96	1
1.01	4.58	1
0.01	-1.02	1
-1.89	-9.19	1
0.03	0.36	1
0.31	2.78	1
-1.68	-7.57	1
1.10	5.47	1
-0.42	-1.24	1
-0.60	-4.72	1
1.83	8.64	1
0.71	3.09	1
-0.60	-4.31	1
-0.21	-1.02	1
0.03	-0.91	1
1.07	4.05	1
-0.16	0.35	1
0.81	8.92	2
1.12	11.14	2
1.35	10.08	2
-1.16	-1.45	2
-0.98	-1.37	2
-1.70	-3.70	2
1.12	9.71	2
-0.45	3.38	2
1.15	10.53	2
0.02	4.19	2
-0.35	0.39	2
1.68	12.18	2
-1.19	-1.04	2
-1.19	-3.09	2
-0.33	2.08	2
-0.49	1.36	2
1.49	12.41	2
-0.32	1.97	2
-0.13	4.38	2
0.56	7.42	2
0.11	4.87	2
1.05	9.24	2
-0.55	1.33	2
-1.91	-4.71	2
-1.05	-0.24	2
0.60	6.02	2
0.81	10.77	2
0.72	5.76	2
-1.24	-1.04	2
1.18	8.69	2
2.85	19.16	2
-0.78	1.46	2
0.56	7.47	2
0.99	10.38	2
-0.12	2.05	2
0.40	6.12	2
-1.14	-3.03	2
-1.90	-4.62	2
-0.88	-1.01	2
-1.35	-1.82	2
-0.34	0.91	2
-0.54	-0.02	2
0.67	7.95	2
0.55	8.05	2
-0.19	4.21	2
-0.91	-0.55	2
-1.22	-2.29	2
1.08	9.24	2
-1.95	-8.02	2
1.32	11.42	2
0.04	5.57	2
0.73	5.36	2
-0.01	3.09	2
-0.28	3.25	2
-1.04	-1.64	2
1.11	9.36	2
0.44	6.50	2
0.20	4.84	2
-1.38	-3.03	2
0.42	5.44	2
1.60	12.03	2
-0.96	-3.01	2
-0.12	3.56	2
-1.43	-3.88	2
0.82	6.49	2
-0.09	4.70	2
0.56	5.81	2
1.47	12.13	2
-0.53	0.45	2
-0.29	2.21	2
-2.29	-6.52	2
0.14	4.24	2
2.44	16.70	2
0.35	7.40	2
-0.04	3.71	2
-1.13	0.63	2
-0.02	3.31	2
-0.10	2.42	2
0.26	3.57	2
0.29	5.84	2
0.95	7.97	2
-0.25	3.23	2
-1.90	-6.01	2
-0.93	-2.13	2
0.83	8.55	2
0.62	6.76	2
-0.08	2.91	2
-0.46	3.34	2
-1.71	-5.55	2
1.35	10.15	2
1.51	11.21	2
0.44	7.45	2
1.22	8.42	2
-1.38	-4.33	2
-0.01	4.18	2
-0.93	-0.86	2
0.79	9.38	2
-0.19	4.84	2
-1.63	-4.77	2
-0.91	-1.42	2
0.43	5.40	2
-1.38	-1.40	2
1.06	9.44	2
0.76	6.85	2
0.52	6.79	2
-0.31	2.57	2
-0.73	-0.06	2
-0.38	2.38	2
0.66	6.61	2
-1.62	-4.02	2
-0.57	-0.25	2
-1.27	-1.84	2
1.07	8.84	2
1.03	9.58	2
-1.12	-1.90	2
-1.78	-6.39	2
-0.41	3.81	2
0.22	5.58	2
-0.18	2.48	2
-1.22	-4.21	2
-0.01	5.07	2
0.13	3.96	2
1.21	12.41	2
-0.93	-0.27	2
-0.60	-0.24	2
1.34	9.06	2
-0.87	-0.19	2
-1.15	-1.35	2
0.36	4.82	2
0.09	4.34	2
0.52	8.50	2
-0.68	1.46	2
0.15	3.24	2
-1.96	-6.34	2
-0.71	0.41	2
-0.67	1.51	2
-0.33	1.18	2
-0.65	0.23	2
0.67	6.73	2
-1.25	-0.21	2
0.52	7.51	2
0.72	6.44	2
-1.38	-1.83	2
-0.83	-1.16	2
1.33	11.37	2
-0.22	0.60	2
-0.35	1.31	2
-0.50	1.72	2
0.32	5.19	2
0.83	6.82	2
-2.14	-6.77	2
-0.08	4.58	2
-0.75	-0.74	2
-0.29	3.35	2
-0.17	2.92	2
-1.28	-1.72	2
1.70	12.65	2
1.56	11.71	2
0.41	8.14	2
-0.87	-1.71	2
1.40	11.78	2
0.47	7.33	2
0.78	7.91	2
-2.22	-7.55	2
-0.52	1.70	2
0.41	7.24	2
1.13	8.63	2
0.80	6.93	2
0.48	5.87	2
-0.73	0.09	2
-0.07	2.95	2
-1.32	-0.95	2
-0.29	3.08	2
-0.36	3.35	2
-1.10	-1.25	2
0.56	7.86	2
0.35	4.62	2
1.20	10.21	2
1.65	12.12	2
0.97	8.44	2
-0.54	1.93	2
0.29	6.61	2
0.12	3.56	2
-1.20	-1.95	2
-1.06	-2.00	2
0.53	6.92	2
1.15	11.79	2
-1.01	0.55	2
-1.70	-4.37	2
-1.09	-1.31	2
2.76	18.07	2
-0.53	-0.25	2
0.92	7.10	2
-1.24	-1.43	2
0.79	8.20	2
1.00	8.73	2
1.13	9.29	2
2.40	15.56	2
1.43	10.54	2
-2.46	-8.84	2
0.34	5.83	2
1.19	10.78	2
-0.22	3.61	2
-0.09	1.98	2
-0.33	2.85	2
-1.46	-2.71	2
0.98	8.76	2
-1.18	-3.29	2
-1.25	-1.86	2
0.23	5.79	2
-0.67	-0.23	2
0.18	6.06	2
-0.36	2.16	2
1.09	10.67	2
0.33	6.49	2
1.31	8.57	2
-1.92	-4.97	2
0.74	7.30	2
0.79	6.37	2
0.13	4.06	2
-0.60	1.86	2
-0.14	4.57	2
0.72	7.74	2
-0.83	0.28	2
-0.38	1.92	2
-0.64	1.05	2
0.53	7.88	2
-1.22	-2.29	2
-0.45	1.43	2
0.32	3.85	2
-0.54	1.31	2
-0.05	3.15	2
-0.94	-1.56	2
-0.44	3.11	2
0.23	5.13	2
0.60	8.70	2
-0.46	2.05	2
0.40	7.10	2
-0.67	-0.54	2
-0.26	2.81	2
1.88	12.53	2
-1.08	-0.81	2
-0.27	1.94	2
-0.80	-0.50	2
1.20	9.89	2
-0.15	3.33	2
0.59	5.38	2
-0.36	1.14	2
-0.36	0.72	2
1.37	10.17	2
0.22	2.69	2
1.69	13.35	2
-0.16	3.67	2
-0.27	2.32	2
-0.03	4.53	2
-0.09	2.14	2
-0.95	-2.14	2
0.00	4.31	2
0.04	2.86	2
-0.74	-0.55	2
0.88	10.15	2
-0.81	-0.21	2
-0.15	1.23	2
1.40	11.17	2
0.15	6.19	2
-0.57	1.90	2
1.76	11.13	2
1.69	12.89	2
-0.71	0.77	2
-0.02	2.73	2
-0.51	1.24	2
0.71	9.94	2
